GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,ToolDefinition,23,35,0,0,10,11,5,6,5,6
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,SessionEndHookInput,43,0,0,0,16,0,11,0,11,0
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,JsonRpcRequest,0,31,0,0,0,13,0,9,0,9
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,ResumeSessionResponse,0,17,0,0,0,7,0,5,0,5
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,ToolResultObject,21,45,2,2,6,14,5,10,3,10
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,UserInputInvocation,0,11,0,0,0,4,0,3,0,3
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,SessionConfig,20,177,0,14,8,50,4,42,4,35
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,SessionMetadata,16,22,0,0,6,10,5,6,5,6
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,SendMessageResponse,0,10,0,0,0,4,0,3,0,3
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,CreateSessionRequest,0,178,0,14,0,58,0,46,0,39
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,ToolBinaryResult,35,0,0,0,13,0,9,0,9,0
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,JsonRpcResponse,0,31,0,0,0,13,0,9,0,9
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,ToolInvocation,26,42,1,1,7,13,5,7,4,7
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,GetMessagesResponse,0,10,0,0,0,4,0,3,0,3
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,SetForegroundSessionResponse,17,0,0,0,7,0,5,0,5,0
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,SessionLifecycleEventMetadata,13,11,0,0,5,5,4,3,4,3
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,SessionLifecycleEvent,6,18,0,0,2,8,2,5,2,5
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,GetStatusResponse,0,19,0,0,0,7,0,5,0,5
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,ListSessionsResponse,0,10,0,0,0,4,0,3,0,3
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,DeleteSessionResponse,7,10,0,0,3,4,2,3,2,3
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,HookInvocation,0,11,0,0,0,4,0,3,0,3
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,ToolDef,15,21,0,0,8,8,4,4,4,4
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,ModelCapabilities,0,19,0,0,0,7,0,5,0,5
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,UserInputResponse,0,19,0,0,0,7,0,5,0,5
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,UserInputRequest,5,28,1,1,1,9,2,6,1,6
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,MessageOptions,13,20,1,1,4,6,3,5,2,5
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,AzureOptions,11,0,0,0,4,0,3,0,3,0
GitHub Copilot Community SDK :: Java,com.github.copilot.sdk.json,PingResponse,0,24,0,0,0,10,0,7,0,7
